course_id,code,title,credits
CSE637,GCN,"Graduate Computer Networks",4
CSE638,,"Graduate Systems (GS)",4
CSE640,CF,"Collaborative Filtering",4
CSE642,AML,"Advanced Machine Learning",4
CSE643,AI,"Artificial Intelligence",4
CSE645,PSOSM,"Privacy and Security in Online Social Media",4
CSE651,TAC,"Topics in Adaptive Cybersecurity",4
CSE653,TC,"Topics in Cryptanalysis",4
CSE655,NS,"Network Science",4
CSE656,IIA,"Information Integration and Applications",4
CSE660,TAIS,"Trustworthy AI systems",4
CSE661/DES507,AFC,"Affective Computing",4
CSE662A,SCV,"Special Topics in Computer Vision",4
CSE663,EAI,"Edge AI",4
CSE663A,MEL,Meta-Learning,4
CSE665,LLM,"Large Language Models",4
CSE665A,DFML,"Distributed and Federated Machine Learning",4
CSE666,,"Advanced Computer Networks",4
CSE667,,"Decision Making for Multi-robot Systems",4
CSE694F/ECE651,MS,"Multimedia Security",4
CSE701,TSE,"Topics in Software Engineering: AI in SE",4
CSE734,ATMC,"Advanced Topics in Mobile Computing",4
CSE749,NAP,"Network Anonymity and Privacy",4
DES101,DDV,"Design Drawing & Visualization",4
DES102,IHCI,"Introduction to HCI",4
DES130,PIS,"Prototyping Interactive Systems",4
DES201,DPP,"Design Processes and Perspectives",4
DES202,VDC,"Visual Design & Communication",4
DES204,HCI,"Human Computer Interaction",4
DES205/DES519,DIS,"Design of Interactive Systems",4
DES206,PIS,"Prototyping Interactive Systems",4
DES302,IAG,"Introduction to Animation and Graphics",4
DES303,FMRP,"Film Making and Radio Podcasting",4
DES305,3DAF,"3D Animation filmmaking",4
DES501,FAE,"Fundamentals of Audio for Engineers",4
DES502,I2D,"Introduction to 2D Animation",4
DES503,I3DA,"Introduction to 3D Character Animation",4
DES504,NVC,"Narratives in Visual Communication",4
DES506,ATHCC,"Advanced topics in Human Centered Computing (ATHCC)",4
DES509,DF,"Design Futures",4
DES512,GDD,"Game Design and Development",4
DES513,WARDI,"Wearable Applications, Research, Devices, Interactions",4
DES514,DAVP,"Digital Audio & Video Production Workflow",4
DES515,ISPR,"Information Systems in Public Health",4
DES516,I3DD,"Introduction to 3D Production Design for Animation and Games",4
DES516s,I3D,"Introduction to 3D Animation",4
DES518,IMG,"Introduction to Motion Graphics",4
DES520,HCAI,"Human Centred AI",4
DES521,FVE,"Fundamentals of Video for Engineers",4
DES522,IDUDA,"Inclusive Design, Universal Design & Accessibility",4
DES523,CIPD,"Cognition and Information Processing in Design",4
DES524,EFD,"Ergonomics/Human factors for Design",4
DES526/DES307,MDG,"Motion Design and Graphics",4
DES527,UDXR,"User Experience Design of XR",4
DES529,DAIDP,"Design for Artificial Intelligence driven Products",4
DES530,BAI,"The Business of Artificial Intelligence",4
DES531,TUI,"Tangible User Interfaces",4
DES532A,3CER,"3D Creation for Extended Reality (XR)",4
DES533,IDPM,"Interaction Design Perspectives Methods",4
DES534,ERI,"Extended Reality in Industry",4
DES535,UC,"Ubiquitous Computing",4
DES536,,"Design Research",4
DES537A,,"User Experience Design and UI Design",4
ECE111,DC,"Digital Circuits",4
ECE113,BE,"Basic Electronics",4
ECE210/ECE310,PSD,"Physics of Semiconductor Devices",4
ECE211,ESD,"Electronic System Design",4
ECE214,IE,"Integrated Electronics",4
ECE215,CTD,"Circuit Theory and Devices",4
ECE230,F&W,"Fields and Waves",4
ECE240,PCS,"Principles of Communication Systems",4
ECE250,S&S,"Signals and Systems",4
ECE270,ELD,"Embedded Logic Design",4
ECE314/ECE514,DVD,"Digital VLSI Design",4
ECE315/ECE515,CMOS,"Analog CMOS Circuit Design",4
ECE318/ECE518,SSD,"Solid State Devices",4
ECE321/ECE521,RFCD,"RF Circuit Design",4
ECE323/EVE323/ECE526,,"Intelligent Product Design Workshop",4
ECE331/ECE531,AFW,"Applied Fields and Waves",4
ECE340/ECE540,DCS,"Digital Communication Systems",4
ECE343,MCOM,"Mobile Communications",4
ECE351,DSP,"Digital Signal Processing",4
ECE363/ECE563/CSE343/543,ML,"Machine Learning",4
ECE366/ECE566,NEID,"Neural Engineering and Implantable Devices",4
ECE412/ECE612,MSD,"Mixed Signal Design",4
ECE431/ECE631,ATD,"Antennas Theory and Design",4
ECE432/ECE632,RS,"Radar Systems",4
ECE452/ECE552,SSP,"Statistical Signal Processing",4
ECE501,PRP,"Probability and Random Process",4
ECE510,DHD,"Digital Hardware Design",4
ECE513,VDF,"VLSI Design Flow",4
ECE513/ECE313,VDF,"VLSI Design Flow",4
ECE516,SCDT,"System on Chip Design and Test",4
ECE517,INE,"Introduction to Nanoelectronics",4
ECE519,IAI,"Intelligent Applications Implementation on Heterogeneous Platforms",4
ECE520,LVACD,"Low Voltage Analog Circuit Design",4
ECE522,ICF,"Integrated Circuit Fabrication",4
ECE523A,DPD,"Digital Processor Design",4
ECE524,QMD,"Quantum Materials and Devices",4
ECE525,QM,"Quantum Mechanics",4
ECE527,ADDV,"Advanced Digital Design and Verification",4
ECE530,QCN,"Quantum Communication and Networks",4
ECE532,OFNI,"Optical Fiber Networks for Industry 4.0",4
ECE533,SNSF,"Satellite Navigation and Sensor Fusion",4
ECE534,OCS,"Optical Communications Systems",4
ECE536s,ON,"Optical Networking",4
ECE537,WCE,"Wireless Communication Evolution from 3G to 5G",4
ECE539,WSI,"Wireless System Implementation",4
ECE543,PDCS,"Principals of Digital Communication System",4
ECE545,Pho,"Photonics: Fundamentals & Applications",4
ECE546,OWC,"Optical and Wireless Convergence for Beyond 5G Networks and IoT",4
ECE548,ADC,"Advanced Digital Communication",4
"ECE553 / CSE641",DL,"Deep Learning",4
ECE554,CS,"Compressive Sensing",4
ECE557,SRU,"Speech Recognition and Understanding",4
ECE558,TLA,"Transform Learning and Applications",4
ECE55G,5GN,"Modeling and Analysis of Random 5G Networks",4
ECE560,DPM,"Data Processing and Management",4
ECE564/CSE564,RL,"Reinforcement Learning",4
ECE564A,"MLWCN D","Machine Learning in Wireless Communication and Networks",4
ECE565,TI,"Tomographic Imaging",4
ECE570,LST,"Linear Systems Theory",4
ECE571,OCNS,"Optimal Control Systems",4
ECE573,AELD,"Advanced Embedded Logic Design",4
ECE577,MLRC,"Machine Learning Techniques for Real-time Control",4
ECE579,NLR,"Nonlinear and Adaptive Control of Robotic Systems",4
ECE581,AD,"Autonomous Driving",4
ECE5et,ET,"Estimation Theory for dynamic systems",4
ECE600A,OOPD,"Object Oriented Programming and Design",4
ECE611,MDT,"Memory Design and Testing",4
ECE613,ASSD,"Advanced Solid-state Devices (ASD)",4
ECE634,InT,"Information Theory",4
"ECE666 / CSE517",AOMML,"Applied Optimization Methods for Machine Learning",4
ECE667A,IAMI,"Introduction to AI in Medical Imaging",4
ECE672,SEC,"Stochastic Estimation and Control",4
ECE677/CSE677,ADL,"Advances in Deep Learning",4
ECO221,ECO,"Econometrics I",4
ECO223,MB,"Money and Banking",4
ECO301,IEA,"Introduction to Economic Analysis",4
ECO311/ECO511,GMT,"Game Theory",4
ECO312/ECO512,IO,"Industrial Organization",4
ECO313,MD,"Market Design",4
ECO314,BEco,"Behavioural Economics",4
ECO322/ECO522,Econ-2,"Econometrics II",4
ECO323/ECO523,CI,"Causal Inference",4
ECO324/ECO524,SSSE,"Spatial Statistics and Spatial Econometrics",4
ECO325/525,,"Econometrics with Machine Learning",4
ECO331,FF,"Foundations of Finance",4
ECO332,VPM,"Valuation and Portfolio Management",4
ECO333,MA,Macroeconomics,4
ECO341/ECO541,MDP,"Markov Decision Processes",4
ECO502,CT,"Contract Theory",4
ECO503,DT,"Decision Theory",4
ENG599s,RM,"Research Methods",4
ENT201/ENT405,FOE,"Foundations of Entrepreneurship",4
"ENT202/ ENT404",SoE,"Social Entrepreneurship",4
ENT302,DTI,"Design Thinking and Innovation",4
ENT303A,EL,"Experiential Learning",4
ENT304,DTSE,"Digital Technologies and Social Entrepreneurship",4
ENT305,SICSRSD,"Social Innovation, Corporate Social Responsibility and Sustainable Development",4
ENT306,,"Introduction to Fintech",4
ENT307,,"Marketing of Services",4
ENT411,EComm,"Entrepreneurial Communication",4
ENT412,EK,"Entrepreneurial Khichadi",4
ENT413,EF,"Entrepreneurial Finance",4
ENT414,RIPS,"Relevance of Intellectual Property for Startups",4
ENT415,NVP,"New Venture Planning",4
ENT416/ENT516,CIIPS,"Creativity, Innovation, and Inventive Problem Solving",4
ENT421/BIO571,HIEE,"Healthcare Innovation and Entrepreneurship Essentials",4
ENTxxx,FOM,"Foundations of Marketing",4
ESC205,EVS,"Environmental Sciences",4
ESC207A,EEE,"Ecology, Evolution, and Environment",4
MGT310,ESCM,"Effective Supply Chain for E Commerce",4
MGT311,EIITM,"Emerging Issues in IT Management",4
"MTH 580A",,"Measure Theoretic Probability",4
MTH100,M-I,"Linear Algebra",4
MTH201,P&S,"Probability and Statistics",4
MTH203,M-III,"Multivariate Calculus",4
MTH204,M-IV,"Mathematics IV",4
MTH210,DS,"Discrete Structures",4
MTH211,NT,"Number Theory",4
MTH212,AA-I,"Abstract Algebra I",4
MTH240,RA-I,"Real Analysis I",4
MTH270,NM,"Numerical Methods",4
MTH300,IML,"Introduction to Mathematical Logic",4
MTH302,ALG,Algebra,4
"MTH310 / MTH520",GT,"Graph Theory",4
MTH311,CIA,"Combinatorics and its Applications",4
MTH340,RA-II,"Real Analysis-II",4
"MTH341 / MTH541",CmpA,"Complex Analysis",4
MTH343/MTH543,IDS,"Introduction to Dynamical Systems",4
MTH359/559,NDMA,"Nonlinear Dynamics and Chaos (NDC)",4
MTH371,SPA,"Stochastic Processes and Applications",4
MTH372,SI,"Statistical Inference",4
MTH373,SC,"Scientific Computing",4
MTH374/MTH574,LO,"Linear Optimization",4
MTH375/MTH575,FM,"Fluid Mechainics",4
MTH376,MB,"Mechanics of Bodies",4
MTH501,L&AI,"Logic and Artificial Intelligence",4
MTH504A,NCL,"Non-Classical Logics",4
MTH506,TML,"Topics in Mathematical Logic",4
MTH510,ALA,"Advanced Linear Algebra",4
MTH512,ANT,"Algebraic Number Theory",4
MTH513,AA-II,"Abstract Algebra II",4
MTH514,COT,"Coding Theory",4
MTH516,ANNT,"Analytic Number Theory",4
MTH517,CMO,"Combinatorial Optimization",4
MTH518,TNT,"Topics in Number Theory",4
MTH519A,,"Distribution of Sequences in Number Theory",4
MTH523/CSE623,PMC,"Probabilistic Methods in Combinatorics",4
MTH535,MPT,"Measure and Probability Theory",4
MTH536,,"Random walk and Brownian motion",4
MTH542,IFA,"Introduction to Functional Analysis",4
MTH544,CRN,"Calculus in R^N",4
MTH545,FSEM,"Finite and Spectral Element Methods",4
MTH547,SCV,"Several Complex Variables",4
MTH548,ATPD,"Advanced Topics in Partial Differential Equations",4
MTH550,IPDE,"Introduction to PDE",4
MTH551,QIT,"An Introduction to Quantum Information Theory",4
MTH561,IAGA,"Introduction to Algebraic Geometry with Applications",4
MTH562,PST,"Point Set Toplogy",4
MTH562A,PST-2,"Point Set Toplogy",4
MTH563,DG,"Differential Geometry",4
MTH564A,IRG,"Introduction to Riemannian Geometry with Some Applications",4
MTH570,NSDE,"Numerical Solutions Differential Equations",4
MTH571,ITA,"Integral Transforms and their Applications",4
MTH576,CDA,"Categorical Data Analysis",4
MTH577,COO,"Convex Optimization",4
MTH578A,TMA,"Topics on Multivariate Analysis",4
MTH579,,"Percolation Theory",4
MTH598,NPDE,"Numerical Partial Differential Equations",4
MTH599,VCA,"Variational Calculus and their Applications",4
PSY201,Psy,"Introduction to Psychology",4
PSY202,Ppsy,"Positive Psychology",4
PSY301,CP,"Cognitive Psychology",4
PSY302,SP,"Social Psychology",4
PSY305/PSY505,ATP,"Attention and Perception",4
PSY306/506,LM,"Learning and Memory",4
PSY307/507,NDM,"Neuroscience of Decision Making",4
PSY308/PSY508,CMM,"Cognition of Motor Movement",4
SOC101,ISA,"Introduction to Sociology and Anthropology",4
SOC202,CISP,"Contemporary India: Sociological Perspective",4
SOC204,SNM,"Sociology of New Media",4
SOC205,ASM,"Anthropology and Social Media",4
SOC206,BA,"Business Anthropology",4
SOC207,ITS,"Information Technology And Society",4
SOC208,OAP,"Organizations An Anthropological Perspective",4
SOC209,CCS,"Consumer Culture and Society",4
SOC210,ST1,"Sociological Theory",4
SOC211,STS,"Science, Technology and Society",4
SOC212,KCES,"Key Concepts in Economic Sociology",4
SOC213,IDE,"Introduction to Digital Ethnography",4
SOC214,,"Sociology of Inequality",4
SOC216,PASSP,"Political Anthropology: State, Subject, Power",4
SOC302/SOC507,US,"Urban Sociology",4
SOC306/506,,"Anthropology of Violence â€“ I",4
